;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
INSTNR;GRADE;TYPE;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;
101007;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101015;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101023;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101050;0. klassetrin;<uoplyst>;;7;;;;;;;;;;;;
101051;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101072;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101089;0. klassetrin;<uoplyst>;;;8;;;;;;;;;;;
101138;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101152;0. klassetrin;<uoplyst>;;;12;;;;;;5;;;;;
101175;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
101540;0. klassetrin;<uoplyst>;;;;;;;5;;;;;;;
101621;0. klassetrin;<uoplyst>;;;5;11;;;6;;;;;;;
147019;0. klassetrin;<uoplyst>;7;;35;8;;;5;;;5;;;;
157018;0. klassetrin;<uoplyst>;7;;6;10;8;9;10;;;;;;;
157041;0. klassetrin;<uoplyst>;13;;52;17;8;;24;5;;;;;;
159012;0. klassetrin;<uoplyst>;;;;;;;14;5;;;;;;
173006;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
185014;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
259011;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280208;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280241;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280284;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280321;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280325;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280361;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280397;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280416;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280425;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280524;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
280597;0. klassetrin;<uoplyst>;;;;;;;;;8;;;;;
280705;0. klassetrin;<uoplyst>;;;;;;;;;;;26;;;
280980;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
281618;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
329005;0. klassetrin;<uoplyst>;;;;;;;;;;5;;;;
329013;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
461031;0. klassetrin;<uoplyst>;;;;;;;5;;;;;;;
503006;0. klassetrin;<uoplyst>;;;;;;;;;;10;;;;
575011;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
611008;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
617002;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
621211;0. klassetrin;<uoplyst>;;;;;;;8;;;;;;;
710003;0. klassetrin;<uoplyst>;;;;;;12;;;;;;;;
729006;0. klassetrin;<uoplyst>;;;;;;;;;;;;;;
751023;0. klassetrin;<uoplyst>;;;;;;;15;;;;;;;
