HOVEDSKOLE_INST	INST_NR	INST_NAVN	ENHEDSART	INST_ADR	POSTNR	POSTDISTRIKT	TLF_NR	E_MAIL	WEB_ADR	INST_TYPE_NR	INST_TYPE_NAVN	INST_TYPE_GRUPPE	UNDERV_NIV	INST_LEDER	CVR_NR	KOMMUNE_NR	ADM_KOMMUNE_NAVN	BEL_KOMMUNE	BEL_KOMMUNE_NAVN	BEL_REGION	REGION_NAVN	EJER_KODE	EJERKODE_NAVN	P_NR	VEJKODE	GEO_BREDDE_GRAD	GEO_LAENGDE_GRAD
	101000	Københavns Kommune	Institution uden enheder	Rådhuset. Rådhuspladsen 1	1599	København V	3366 3366	borgerservice@kk.dk	www.kk.dk	2013	Kommuner pr. 1/1-2007	Regioner og kommuner			64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale		6152		
	101001	Den Classenske Legatskole	Institution uden enheder	Vester Voldgade 98	1552	København V	3366 2190	dcl@kk.dk	www.dcl.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Lone Laursen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003256468	8252	55.67291655	12.57573764
	101003	Nyboder Skole	Institution uden enheder	Øster Voldgade 15	1350	København K	3366 4950	nyboderskole@kk.dk	www.nyboderskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Jens-Ulrik Arnt	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003256729	8612	55.69057176	12.58624455
	101005	Sølvgades Skole	Institution uden enheder	Sølvgade 16	1307	København K	3366 1287	soel@kk.dk	www.soel.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Tina-Marie Bendix Beiter	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003256080	7280	55.68649336	12.58324185
	101007	Nørrebro Park Skole	Institution uden enheder	Jagtvej 34	2200	København N	8256 3399	nps@kk.dk	www.nps.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	Henrik Wilhelmsen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003253287	3332	55.69028739	12.54470371
	101008	Blågård Skole	Institution uden enheder	Hans Tavsens Gade 4	2200	København N	3366 7700	blg@kk.dk	www.blg.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Kamma Cignitti	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255606	2604	55.68782572	12.5502093
	101011	Bellahøj Skole	Institution uden enheder	Svenskelejren 18	2700	Brønshøj	3366 1830	bellahoej@kk.dk	www.bellahoej.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Lise Velin	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003256079	7180	55.70438626	12.5084448
	101012	Brønshøj Skole	Institution uden enheder	Klintholmvej 5	2700	Brønshøj	3366 4868	brh@kk.dk	www.brh.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Mikkel Wiene	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003253627	3748	55.70425576	12.49503111
	101015	Grøndalsvængets Skole	Institution uden enheder	Rørsangervej 29	2400	København NV	3366 9350	gvs@kk.dk	www.gvs.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	Kristoffer Gregersen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003255345	6144	55.69869277	12.52696619
	101017	Husum Skole	Institution uden enheder	Karlslundevej 23	2700	Brønshøj	3828 0768	husumskole@kk.dk	www.husumskole.kk.dk	1012	Folkeskoler	Grundskoler mv.	10	Annette Samsøe Jensen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003253457	3576	55.70608863	12.47376024
	101019	Katrinedals Skole	Institution uden enheder	Vanløse Allé 44	2720	Vanløse	3874 1742	katrinedal@kk.dk	www.katrinedal.kk.dk	1012	Folkeskoler	Grundskoler mv.	9	Rikke Schultz Pedersen	64942212	101	Københavns Kommune	101	Københavns Kommune	1084	Region Hovedstaden	2	Kommunale	1003256365	7984	55.69022253	12.49876234
