INST_NR	INST_NAVN_	POSTNR	POSTDISTRI	INST_NAVN	CVR_NR	P_NR	INST_LEDER	TELEFAX	TLF_NR	INST_ADR	VEJKODE	HUSNRBOGST	POSTBOKS	ETAGE	DOERBETEGN	AJOUR_DATO	AJOUR_BRUG	ADM_KOMMUN	ADM_KOMM_1	NEDLAGT_MN	EJER_KODE	EJER_KODE_	Min_KODE	min_KODE_T	UNDERV_NIV	OPRETTET_M	INST_TYPE_	inst_typ_1	INST_TYP_2	inst_typ_3	AKTIV_KODE	AKTIV_KO_1	INST_TYP_4	inst_typ_5	BEL_KOMMUN	BEL_KOMM_1	FLYTTE_KOD	FLYTTE_K_1	FLYTTE_INS	HOVEDSKOLE	E_MAIL	WEB_ADR	ENHEDSART	ENHEDSART_	VEJNAVN	LOKALITET	STEDNAVN	GEO_BREDDE	GEO_LAENGD	status	BEL_REGION	BEL_REGI_1	WKT_GEO
101001	D.Class.Leg.Sk.	1552	Kõbenhavn V	Den Classenske Legatskole	64942212	1003256468	Lone Laursen	3313 3236	3366 2190	Vester Voldgade 98	8252	98	NA	NA	NA	30-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	199301	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	dcl@kk.dk	www.dcl.kk.dk	0	Institution uden enheder	Vester Voldgade	NA	NA	55.67291655	12.57573764	AJO	1084	Region Hovedstaden	POINT(12.5757376 55.6729165)
101003	Nyboder Sk.	1350	Kõbenhavn K	Nyboder Skole	64942212	1003256729	Jens-Ulrik Arnt	3313 3676	3366 4950	ùster Voldgade 15	8612	15	NA	NA	NA	29-01-2019 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	192004	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	nyboderskole@kk.dk	www.nyboderskole.kk.dk	0	Institution uden enheder	ùster Voldgade	NA	NA	55.69057176	12.58624455	AJO	1084	Region Hovedstaden	POINT(12.5862445 55.6905718)
101005	Sõlvg.Sk.	1307	Kõbenhavn K	Sõlvgades Skole	64942212	1003256080	Tina-Marie Bendix Beiter	3315 2710	3366 1287	Sõlvgade 16	7280	16	NA	NA	NA	02-10-2019 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	NA	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	soel@kk.dk	www.soel.kk.dk	0	Institution uden enheder	Sõlvgade	NA	NA	55.68649336	12.58324185	AJO	1084	Region Hovedstaden	POINT(12.5832419 55.6864934)
101007	Nõrrebro Park	2200	Kõbenhavn N	Nõrrebro Park Skole	64942212	1003253287	John Kim Nielsen	3539 8510	8256 3399	Jagtvej 34	3332	34	NA	NA	NA	09-09-2021 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	NA	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	nps@kk.dk	www.nps.kk.dk	0	Institution uden enheder	Jagtvej	NA	NA	55.69028739	12.54470371	AJO	1084	Region Hovedstaden	POINT(12.5447037 55.6902874)
101008	BlÜgÜrd Skole	2200	Kõbenhavn N	BlÜgÜrd Skole	64942212	1003255606	Kamma Cignitti	NA	3366 7700	Hans Tavsens Gade 4	2604	4	NA	NA	NA	10-09-2019 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	NA	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	blg@kk.dk	www.blg.kk.dk	0	Institution uden enheder	Hans Tavsens Gade	NA	NA	55.68782572	12.5502093	AJO	1084	Region Hovedstaden	POINT(12.5502093 55.6878257)
101011	Bellahõj Sk.	2700	Brõnshõj	Bellahõj Skole	64942212	1003256079	Lise Velin	3860 0526	3366 1830	Svenskelejren 18	7180	18	NA	NA	NA	25-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	193608	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	bellahoej@kk.dk	www.bellahoej.kk.dk	0	Institution uden enheder	Svenskelejren	NA	NA	55.70438626	12.5084448	AJO	1084	Region Hovedstaden	POINT(12.5084448 55.7043863)
101012	Brõnshõj Sk.	2700	Brõnshõj	Brõnshõj Skole	64942212	1003253627	Mikkel Wiene	3828 0236	3366 4868	Klintholmvej 5	3748	5	NA	NA	NA	30-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	192401	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	brh@kk.dk	www.brh.kk.dk	0	Institution uden enheder	Klintholmvej	NA	NA	55.70425576	12.49503111	AJO	1084	Region Hovedstaden	POINT(12.4950311 55.7042558)
101015	Grõndalsvg.Sk.	2400	Kõbenhavn NV	Grõndalsvëngets Skole	64942212	1003255345	Kristoffer Gregersen	3886 6031	3366 9350	Rõrsangervej 29	6144	29	NA	NA	NA	14-10-2019 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	192409	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	gvs@kk.dk	www.gvs.kk.dk	0	Institution uden enheder	Rõrsangervej	NA	NA	55.69869277	12.52696619	AJO	1084	Region Hovedstaden	POINT(12.5269662 55.6986928)
101016	Hillerõdg.Sk.	2200	Kõbenhavn N	Hillerõdgades Skole	64942212	1003256705	Merete Sõgaard	3585 3272	3585 3262	ùrholmgade 8	8556	8	NA	NA	NA	25-07-2013 00:00:00	ds	101	Kõbenhavns Kommune	31-07-2013 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	7	191508	121	Grundskoler	1012	Folkeskoler	3	Nedlagt institution	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	mail@hil.kk.dk	www.hil.kk.dk	0	Institution uden enheder	ùrholmgade	NA	NA	55.69608901777216	12.539071389014914	AJO	1084	Region Hovedstaden	POINT(12.5390714 55.696089)
101017	Husum Sk.	2700	Brõnshõj	Husum Skole	64942212	1003253457	Annette Samsõe Jensen	3828 0748	3828 0768	Karlslundevej 23	3576	23	NA	NA	NA	30-07-2018 00:00:00	ds	101	Kõbenhavns Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	193008	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	101	Kõbenhavns Kommune	NA	NA	NA	NA	husumskole@kk.dk	www.husumskole.kk.dk	0	Institution uden enheder	Karlslundevej	NA	NA	55.706088630000004	12.47376024	AJO	1084	Region Hovedstaden	POINT(12.4737602 55.7060886)
