SOGNEKODE	REGIONKODE	KOMKODE
7194	1085	253
7195	1085	253
7199	1085	253
7200	1085	253
9105	1085	253
9108	1085	253
7340	1085	329
7343	1085	329
7344	1085	329
7363	1085	329
7364	1085	329
7365	1085	329
7366	1085	329
7367	1085	329
7368	1085	329
7369	1085	329
7370	1085	329
7371	1085	329
7372	1085	329
7373	1085	329
7374	1085	329
7376	1085	329
7378	1085	329
7724	1083	450
7725	1083	450
7726	1083	450
7727	1083	450
7728	1083	450
7729	1083	450
7730	1083	450
7731	1083	450
7732	1083	450
7733	1083	450
7734	1083	450
7735	1083	450
7736	1083	450
7769	1083	450
7770	1083	450
7771	1083	450
7773	1083	450
9256	1083	450
9257	1083	450
7119	1084	173
7120	1084	173
7121	1084	173
7122	1084	173
7123	1084	173
7124	1084	173
8946	1083	510
8952	1083	510
8954	1083	510
8955	1083	510
8957	1083	510
8961	1083	510
8962	1083	510
8963	1083	510
8964	1083	510
8965	1083	510
8966	1083	510
8967	1083	510
8968	1083	510
8969	1083	510
8970	1083	510
8971	1083	510
8972	1083	510
8973	1083	510
8974	1083	510
8975	1083	510
8976	1083	510
8978	1083	510
8979	1083	510
8980	1083	510
8982	1083	510
8986	1083	510
9037	1083	510
7897	1082	766
7899	1082	766
7900	1082	766
7901	1082	766
7948	1082	766
7949	1082	766
7950	1082	766
7951	1082	766
7952	1082	766
7953	1082	766
7954	1082	766
7955	1082	766
7956	1082	766
7957	1082	766
7958	1082	766
7959	1082	766
7960	1082	766
7961	1082	766
7962	1082	766
7965	1082	766
7969	1082	766
7970	1082	766
7971	1082	766
7972	1082	766
8001	1082	766
8002	1082	766
8003	1082	766
8004	1082	766
8057	1082	766
8058	1082	766
9112	1082	766
9262	1082	766
9010	1083	580
9011	1083	580
9012	1083	580
9013	1083	580
9014	1083	580
9015	1083	580
9017	1083	580
9018	1083	580
9021	1083	580
9022	1083	580
9023	1083	580
9024	1083	580
9026	1083	580
9027	1083	580
9029	1083	580
9056	1083	580
9057	1083	580
9060	1083	580
9061	1083	580
9260	1083	580
8956	1083	550
8958	1083	550
8959	1083	550
8960	1083	550
9016	1083	550
9031	1083	550
9032	1083	550
9033	1083	550
9036	1083	550
9038	1083	550
9040	1083	550
9041	1083	550
9042	1083	550
9043	1083	550
9044	1083	550
9045	1083	550
9046	1083	550
9047	1083	550
9048	1083	550
9049	1083	550
9050	1083	550
9051	1083	550
9052	1083	550
9053	1083	550
9054	1083	550
9055	1083	550
9058	1083	550
9059	1083	550
9062	1083	550
9178	1083	550
7843	1083	480
7848	1083	480
7849	1083	480
7850	1083	480
7851	1083	480
7852	1083	480
7853	1083	480
7854	1083	480
7855	1083	480
7856	1083	480
7857	1083	480
7858	1083	480
7859	1083	480
7860	1083	480
7861	1083	480
7862	1083	480
7863	1083	480
7864	1083	480
7865	1083	480
7866	1083	480
7867	1083	480
7888	1083	480
7889	1083	480
7890	1083	480
7891	1083	480
7892	1083	480
9251	1083	480
8484	1082	791
8485	1082	791
8497	1082	791
8498	1082	791
8499	1082	791
8500	1082	791
8501	1082	791
8502	1082	791
8503	1082	791
8504	1082	791
8505	1082	791
8506	1082	791
8507	1082	791
8508	1082	791
8509	1082	791
8523	1082	791
8525	1082	791
8526	1082	791
8527	1082	791
8528	1082	791
8529	1082	791
8530	1082	791
8531	1082	791
8532	1082	791
8533	1082	791
8534	1082	791
8535	1082	791
8536	1082	791
8563	1082	791
8564	1082	791
8565	1082	791
8566	1082	791
8567	1082	791
8568	1082	791
8569	1082	791
8570	1082	791
8571	1082	791
8591	1082	791
8593	1082	791
8594	1082	791
8595	1082	791
8602	1082	791
8603	1082	791
8613	1082	791
8614	1082	791
8615	1082	791
8616	1082	791
8617	1082	791
8618	1082	791
8619	1082	791
8621	1082	791
8622	1082	791
8624	1082	791
8625	1082	791
8627	1082	791
8634	1082	791
8635	1082	791
8636	1082	791
8637	1082	791
8638	1082	791
8639	1082	791
8640	1082	791
8641	1082	791
9079	1082	791
9126	1082	791
9149	1082	791
9168	1082	791
9214	1082	791
9215	1082	791
7080	1084	101
7081	1084	101
7082	1084	101
7083	1084	101
7084	1084	101
7085	1084	101
7086	1084	101
7087	1084	101
7088	1084	101
7089	1084	101
7090	1084	101
7002	1084	101
7003	1084	101
7011	1084	101
7024	1084	101
7026	1084	101
7027	1084	101
7028	1084	101
7036	1084	101
7037	1084	101
7038	1084	101
7039	1084	101
7040	1084	101
7041	1084	101
7043	1084	101
7044	1084	101
7046	1084	101
7050	1084	101
7051	1084	101
7053	1084	101
7054	1084	101
7055	1084	101
7056	1084	101
7057	1084	101
7058	1084	101
7059	1084	101
7060	1084	101
7061	1084	101
7062	1084	101
7063	1084	101
7064	1084	101
7065	1084	101
7066	1084	101
7067	1084	101
7068	1084	101
7070	1084	101
9133	1084	101
9161	1084	101
9164	1084	101
9165	1084	101
9169	1084	101
9174	1084	101
9175	1084	101
9182	1084	101
9185	1084	101
9190	1084	101
8437	1081	825
8439	1081	825
9278	1082	760
7192	1084	155
7193	1084	155
7493	1085	336
7494	1085	336
7495	1085	336
7496	1085	336
7497	1085	336
7498	1085	336
7526	1085	336
7542	1085	336
7543	1085	336
7544	1085	336
7545	1085	336
7546	1085	336
7547	1085	336
7548	1085	336
7549	1085	336
7550	1085	336
7551	1085	336
7437	1084	217
7438	1084	217
7439	1084	217
7440	1084	217
7441	1084	217
7442	1084	217
7443	1084	217
9098	1084	217
9103	1084	217
9240	1084	217
7392	1084	270
7393	1084	270
7394	1084	270
7395	1084	270
7396	1084	270
7428	1084	270
7430	1084	270
7431	1084	270
7432	1084	270
7433	1084	270
7434	1084	270
7435	1084	270
9243	1084	270
7141	1084	167
7142	1084	167
7143	1084	167
7146	1084	167
7135	1084	163
7136	1084	163
9074	1084	163
8059	1082	615
7201	1085	269
7202	1085	269
7203	1085	269
7204	1085	269
7205	1085	269
8430	1081	813
8433	1081	813
8434	1081	813
8435	1081	813
8436	1081	813
8440	1081	813
8441	1081	813
8442	1081	813
8443	1081	813
8444	1081	813
8445	1081	813
8446	1081	813
8447	1081	813
8476	1081	813
8478	1081	813
8479	1081	813
8480	1081	813
8481	1081	813
9226	1081	813
9228	1081	813
9230	1081	813
9231	1081	813
8375	1081	851
8376	1081	851
8377	1081	851
8378	1081	851
8381	1081	851
8382	1081	851
8383	1081	851
8384	1081	851
8385	1081	851
8386	1081	851
8387	1081	851
9136	1081	851
9197	1081	851
9225	1081	851
9313	1083	563
7125	1084	230
7126	1084	230
7127	1084	230
7128	1084	230
7129	1084	230
7448	1084	230
9310	1084	230
9311	1084	230
7154	1084	190
7414	1084	190
9239	1084	190
